features,scaler,pca,evr,method,k,silhouette,calinski,davies_bouldin,bic,min_size
"beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5813506709513612,182.6950048602341,0.7272194513175865,1316.6433329996248,26
"skor_kematangan_digital,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5769278457436308,169.4992461101152,0.6636542747755845,1350.3548556219448,22
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.806526034865102,GMM-diag,2,0.5717730241801284,169.80795345145933,0.7248319975765178,1386.803517110587,24
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.7111396639165194,GMM-spherical,2,0.5658008753794808,42.44222881995131,1.897062814087188,1537.0004609607147,22
"tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.5640606632268692,162.92010836366305,0.7774139587537198,1358.3634009682319,25
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.6625553343151093,GMM-spherical,2,0.5611415424917023,152.15943708005145,0.7688903443058607,1439.4771533934384,23
"beban_pasien_per_staf,efisiensi_anggaran_it",robust,none,,GMM-spherical,2,0.5600954705894127,36.90927700319563,2.051100595871559,1430.6376267283467,25
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.806526034865102,GMM-full,2,0.5598646230290449,170.07385777699383,0.775678768347025,1389.7604746720656,27
"tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.806526034865102,Agg-ward,2,0.5575699727580795,164.89477736242654,0.7582094384826533,,26
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.8057971161173361,GMM-diag,2,0.5563114005017199,44.60711324216504,1.8314684474092835,1417.1227906735526,25
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",robust,none,,GMM-diag,2,0.5559573697992475,29.05698946827704,2.1999433597382576,1476.3216056819836,22
"rata_rata_waktu_respons_rujukan_menit,efisiensi_anggaran_it",robust,none,,GMM-full,2,0.5554535217173562,28.742040452680243,2.2078319491957714,1481.1821311981641,22
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.6681880016152507,GMM-diag,2,0.5551035547802616,28.256470577056707,2.241574333273653,1481.3901785361056,22
"rata_rata_waktu_respons_rujukan_menit,rasio_adopsi_telemedicine",robust,none,,GMM-spherical,2,0.551937812030657,156.1699667900005,0.7920333607523017,1405.0591531396449,25
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.6625553343151093,GMM-diag,2,0.5478553606264661,140.44791635621038,0.8659477524929083,1443.4851487521707,26
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.8092054311541801,GMM-full,2,0.5474228363563635,30.222759071487644,2.142566814118388,1484.9595242278847,23
"skor_kematangan_digital,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.8252036353184269,GMM-diag,2,0.5472399330193933,163.31680114427178,0.6687082736228802,1400.932999422717,24
"skor_kematangan_digital,rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.717758801986607,Agg-ward,2,0.5466041894551593,136.5482065668184,0.7789273122816202,,22
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,efisiensi_anggaran_it",robust,pca2,0.791836915518517,GMM-diag,2,0.5465391275192476,32.47986168022124,2.1131547993072504,1477.9009322537142,24
"rata_rata_waktu_respons_rujukan_menit,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.8181200353000718,GMM-diag,2,0.5462658222309483,136.35865603970404,0.8625645234695327,1437.9670003310048,25
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.7706101198644884,GMM-spherical,2,0.5441460707159735,156.53722323011377,0.8052225007653462,1416.647456543552,27
"skor_kematangan_digital,efisiensi_anggaran_it",robust,none,,GMM-full,2,0.5439791000542186,45.55689396713984,1.8962847300047643,1370.8957672198753,29
"skor_kematangan_digital,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.8057971161173361,GMM-full,2,0.540724207242355,34.42584146564354,2.1960444162869175,1424.8301324224874,27
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,rasio_adopsi_telemedicine",robust,pca2,0.680673322237648,GMM-full,2,0.5407013273707417,157.08727213192532,0.7875401842847601,1440.3414632911445,27
"rata_rata_waktu_respons_rujukan_menit,tingkat_keterisian_tempat_tidur_persen,beban_pasien_per_staf,efisiensi_anggaran_it",robust,pca2,0.6681880016152507,GMM-full,2,0.5405810765544048,26.737848472599023,2.3641065593533703,1486.220609199963,24
"skor_kematangan_digital,tingkat_keterisian_tempat_tidur_persen,rasio_adopsi_telemedicine",robust,pca2,0.8043589392785135,GMM-diag,2,0.5394830425858002,152.62203500386147,0.7797750591405276,1425.1678963192649,26
